"activityid" "subject" "V1.X" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 5 2 0.25717778 -0.02328523 -0.014653762 -0.938404 -0.92009078 -0.66768331 -0.95250112 -0.92524867
"2" 5 2 0.28602671 -0.013163359 -0.11908252 -0.97541469 -0.9674579 -0.94495817 -0.9867988 -0.96840133
"3" 5 2 0.27548482 -0.02605042 -0.11815167 -0.99381904 -0.96992551 -0.96274798 -0.99440345 -0.97073498
"4" 5 2 0.27029822 -0.032613869 -0.11752018 -0.99474279 -0.97326761 -0.96709068 -0.99527433 -0.97447101
"5" 5 2 0.27483295 -0.027847788 -0.12952716 -0.99385248 -0.96744548 -0.97829499 -0.9941114 -0.96595259
"6" 5 2 0.27921995 -0.018620399 -0.11390197 -0.99445523 -0.97041688 -0.96531629 -0.99458514 -0.9694806
"7" 5 2 0.27974586 -0.018271026 -0.10399988 -0.99581919 -0.97635361 -0.97772468 -0.99599613 -0.97366485
"8" 5 2 0.27460055 -0.02503513 -0.11683085 -0.99559442 -0.98206892 -0.98526237 -0.99534087 -0.9814849
"9" 5 2 0.27252874 -0.020954013 -0.11447249 -0.99678413 -0.97590627 -0.98659699 -0.99702932 -0.97373534
"10" 5 2 0.2757457 -0.010371994 -0.09977589 -0.99837313 -0.98693291 -0.9910219 -0.99866291 -0.98713965
